,text,response,condition,img_name,response_type,group_id,model_name,version,prompt_type
0,Brad was sitting in his office when an intruder threatened him with a knife. What can Brad use to protect himself?,15,afforded_image,laptopcomputer_natural.jpeg,generation,1,gpt-4-turbo_100,natural,explicit
1,Brad was sitting in his office when an intruder threatened him with a knife. What can Brad use to protect himself?,1,non-afforded_image,papernapkin_natural.jpeg,generation,1,gpt-4-turbo_100,natural,explicit
2,Brad was sitting in his office when an intruder threatened him with a knife. What can Brad use to protect himself?,100,related_image,huntingrifle_natural.jpeg,generation,1,gpt-4-turbo_100,natural,explicit
3,Jenny was hiking in the woods. She left her friend Adam a note explaining that she would mark her choice of direction at each intersection. What can Jenny use to point her path?,100,afforded_image,pen_natural.jpeg,generation,2,gpt-4-turbo_100,natural,explicit
4,Jenny was hiking in the woods. She left her friend Adam a note explaining that she would mark her choice of direction at each intersection. What can Jenny use to point her path?,1,non-afforded_image,nickel_natural.jpeg,generation,2,gpt-4-turbo_100,natural,explicit
5,Jenny was hiking in the woods. She left her friend Adam a note explaining that she would mark her choice of direction at each intersection. What can Jenny use to point her path?,20,related_image,string_natural.jpeg,generation,2,gpt-4-turbo_100,natural,explicit
6,Art was having a party. He realized he didn't have enough coasters to protect the tables from condensation dripping off the glasses. What can Art use to protect his table?,15,afforded_image,floppydisks_natural.jpeg,generation,3,gpt-4-turbo_100,natural,explicit
7,Art was having a party. He realized he didn't have enough coasters to protect the tables from condensation dripping off the glasses. What can Art use to protect his table?,1,non-afforded_image,pencils_natural.jpeg,generation,3,gpt-4-turbo_100,natural,explicit
8,Art was having a party. He realized he didn't have enough coasters to protect the tables from condensation dripping off the glasses. What can Art use to protect his table?,85,related_image,oldmagazines_natural.jpeg,generation,3,gpt-4-turbo_100,natural,explicit
9,"Mike was freezing in the wind. He needed something to cover his face, but he didn't have enough money to buy a scarf. What can Mike use to cover his face?",1,afforded_image,newspaper_natural.jpeg,generation,4,gpt-4-turbo_100,natural,explicit
10,"Mike was freezing in the wind. He needed something to cover his face, but he didn't have enough money to buy a scarf. What can Mike use to cover his face?",1,non-afforded_image,matchbook_natural.jpeg,generation,4,gpt-4-turbo_100,natural,explicit
11,"Mike was freezing in the wind. He needed something to cover his face, but he didn't have enough money to buy a scarf. What can Mike use to cover his face?",100,related_image,skimask_natural.jpeg,generation,4,gpt-4-turbo_100,natural,explicit
12,"David was playing hide and seek with his son, Duncan. Where can Duncan hide?",1,afforded_image,clothesdryer_natural.jpeg,generation,5,gpt-4-turbo_100,natural,explicit
13,"David was playing hide and seek with his son, Duncan. Where can Duncan hide?",1,non-afforded_image,cookiejar_natural.jpeg,generation,5,gpt-4-turbo_100,natural,explicit
14,"David was playing hide and seek with his son, Duncan. Where can Duncan hide?",100,related_image,broomcloset_natural.jpeg,generation,5,gpt-4-turbo_100,natural,explicit
15,"Bill was painting his barn. Part of the wall was too high to reach without a ladder, but he'd lent his ladder to a neighbor. What can Bill stand on instead?",20,afforded_image,tractor_natural.jpeg,generation,6,gpt-4-turbo_100,natural,explicit
16,"Bill was painting his barn. Part of the wall was too high to reach without a ladder, but he'd lent his ladder to a neighbor. What can Bill stand on instead?",1,non-afforded_image,hammer_natural.jpeg,generation,6,gpt-4-turbo_100,natural,explicit
17,"Bill was painting his barn. Part of the wall was too high to reach without a ladder, but he'd lent his ladder to a neighbor. What can Bill stand on instead?",30,related_image,chair_natural.jpeg,generation,6,gpt-4-turbo_100,natural,explicit
18,"Phil was trying to get a barbecue going. He tried blowing on the coals, but they still weren't burning well. What can Phil use to fan the fire?",85,afforded_image,map_natural.jpeg,generation,7,gpt-4-turbo_100,natural,explicit
19,"Phil was trying to get a barbecue going. He tried blowing on the coals, but they still weren't burning well. What can Phil use to fan the fire?",1,non-afforded_image,rock_natural.jpeg,generation,7,gpt-4-turbo_100,natural,explicit
20,"Phil was trying to get a barbecue going. He tried blowing on the coals, but they still weren't burning well. What can Phil use to fan the fire?",100,related_image,bellows_natural.jpeg,generation,7,gpt-4-turbo_100,natural,explicit
21,"Peggy was babysitting her infant nephew. He was being fussy, but she had few toys to occupy him. What can Peggy give her infant nephew to play with?",20,afforded_image,plasticspoon_natural.jpeg,generation,8,gpt-4-turbo_100,natural,explicit
22,"Peggy was babysitting her infant nephew. He was being fussy, but she had few toys to occupy him. What can Peggy give her infant nephew to play with?",1,non-afforded_image,largerefrigerator_natural.jpeg,generation,8,gpt-4-turbo_100,natural,explicit
23,"Peggy was babysitting her infant nephew. He was being fussy, but she had few toys to occupy him. What can Peggy give her infant nephew to play with?",1,related_image,redbeanbag_natural.jpeg,generation,8,gpt-4-turbo_100,natural,explicit
24,"Joe's roommates had taken all of the space in the closet, and there was no place to hang his coat. What can Joe use as a coat rack?",1,afforded_image,vacuumcleaner_natural.jpeg,generation,9,gpt-4-turbo_100,natural,explicit
25,"Joe's roommates had taken all of the space in the closet, and there was no place to hang his coat. What can Joe use as a coat rack?",1,non-afforded_image,electricoutlet_natural.jpeg,generation,9,gpt-4-turbo_100,natural,explicit
