text,response,condition,img_name,response_type,group_id,model_name,version,prompt_type
Brad was sitting in his office when an intruder threatened him with a knife. What can Brad use to protect himself?,2,afforded_image,laptopcomputer_natural.jpeg,generation,1,gpt-4o,natural,explicit
Brad was sitting in his office when an intruder threatened him with a knife. What can Brad use to protect himself?,1,non-afforded_image,papernapkin_natural.jpeg,generation,1,gpt-4o,natural,explicit
Brad was sitting in his office when an intruder threatened him with a knife. What can Brad use to protect himself?,1,related_image,huntingrifle_natural.jpeg,generation,1,gpt-4o,natural,explicit
Jenny was hiking in the woods. She left her friend Adam a note explaining that she would mark her choice of direction at each intersection. What can Jenny use to point her path?,1,afforded_image,pen_natural.jpeg,generation,2,gpt-4o,natural,explicit
Jenny was hiking in the woods. She left her friend Adam a note explaining that she would mark her choice of direction at each intersection. What can Jenny use to point her path?,1,non-afforded_image,nickel_natural.jpeg,generation,2,gpt-4o,natural,explicit
Jenny was hiking in the woods. She left her friend Adam a note explaining that she would mark her choice of direction at each intersection. What can Jenny use to point her path?,3,related_image,string_natural.jpeg,generation,2,gpt-4o,natural,explicit
Art was having a party. He realized he didn't have enough coasters to protect the tables from condensation dripping off the glasses. What can Art use to protect his table?,1,afforded_image,floppydisks_natural.jpeg,generation,3,gpt-4o,natural,explicit
Art was having a party. He realized he didn't have enough coasters to protect the tables from condensation dripping off the glasses. What can Art use to protect his table?,1,non-afforded_image,pencils_natural.jpeg,generation,3,gpt-4o,natural,explicit
Art was having a party. He realized he didn't have enough coasters to protect the tables from condensation dripping off the glasses. What can Art use to protect his table?,5,related_image,oldmagazines_natural.jpeg,generation,3,gpt-4o,natural,explicit
"Mike was freezing in the wind. He needed something to cover his face, but he didn't have enough money to buy a scarf. What can Mike use to cover his face?",1,afforded_image,newspaper_natural.jpeg,generation,4,gpt-4o,natural,explicit
"Mike was freezing in the wind. He needed something to cover his face, but he didn't have enough money to buy a scarf. What can Mike use to cover his face?",1,non-afforded_image,matchbook_natural.jpeg,generation,4,gpt-4o,natural,explicit
"Mike was freezing in the wind. He needed something to cover his face, but he didn't have enough money to buy a scarf. What can Mike use to cover his face?",7,related_image,skimask_natural.jpeg,generation,4,gpt-4o,natural,explicit
"David was playing hide and seek with his son, Duncan. Where can Duncan hide?",1,afforded_image,clothesdryer_natural.jpeg,generation,5,gpt-4o,natural,explicit
"David was playing hide and seek with his son, Duncan. Where can Duncan hide?",1,non-afforded_image,cookiejar_natural.jpeg,generation,5,gpt-4o,natural,explicit
"David was playing hide and seek with his son, Duncan. Where can Duncan hide?",7,related_image,broomcloset_natural.jpeg,generation,5,gpt-4o,natural,explicit
"Bill was painting his barn. Part of the wall was too high to reach without a ladder, but he'd lent his ladder to a neighbor. What can Bill stand on instead?",2,afforded_image,tractor_natural.jpeg,generation,6,gpt-4o,natural,explicit
"Bill was painting his barn. Part of the wall was too high to reach without a ladder, but he'd lent his ladder to a neighbor. What can Bill stand on instead?",1,non-afforded_image,hammer_natural.jpeg,generation,6,gpt-4o,natural,explicit
"Bill was painting his barn. Part of the wall was too high to reach without a ladder, but he'd lent his ladder to a neighbor. What can Bill stand on instead?",3,related_image,chair_natural.jpeg,generation,6,gpt-4o,natural,explicit
"Phil was trying to get a barbecue going. He tried blowing on the coals, but they still weren't burning well. What can Phil use to fan the fire?",5,afforded_image,map_natural.jpeg,generation,7,gpt-4o,natural,explicit
"Phil was trying to get a barbecue going. He tried blowing on the coals, but they still weren't burning well. What can Phil use to fan the fire?",1,non-afforded_image,rock_natural.jpeg,generation,7,gpt-4o,natural,explicit
"Phil was trying to get a barbecue going. He tried blowing on the coals, but they still weren't burning well. What can Phil use to fan the fire?",7,related_image,bellows_natural.jpeg,generation,7,gpt-4o,natural,explicit
"Peggy was babysitting her infant nephew. He was being fussy, but she had few toys to occupy him. What can Peggy give her infant nephew to play with?",3,afforded_image,plasticspoon_natural.jpeg,generation,8,gpt-4o,natural,explicit
"Peggy was babysitting her infant nephew. He was being fussy, but she had few toys to occupy him. What can Peggy give her infant nephew to play with?",1,non-afforded_image,largerefrigerator_natural.jpeg,generation,8,gpt-4o,natural,explicit
"Peggy was babysitting her infant nephew. He was being fussy, but she had few toys to occupy him. What can Peggy give her infant nephew to play with?",1,related_image,redbeanbag_natural.jpeg,generation,8,gpt-4o,natural,explicit
"Joe's roommates had taken all of the space in the closet, and there was no place to hang his coat. What can Joe use as a coat rack?",1,afforded_image,vacuumcleaner_natural.jpeg,generation,9,gpt-4o,natural,explicit
"Joe's roommates had taken all of the space in the closet, and there was no place to hang his coat. What can Joe use as a coat rack?",1,non-afforded_image,electricoutlet_natural.jpeg,generation,9,gpt-4o,natural,explicit
"Joe's roommates had taken all of the space in the closet, and there was no place to hang his coat. What can Joe use as a coat rack?",1,related_image,doorknob_natural.jpeg,generation,9,gpt-4o,natural,explicit
"Jonathan opened up his car's trunk, but the ice scraper wasn't there. What can Jonathan use to chisel an inch of ice off his windshield?",1,afforded_image,seveniron_natural.jpeg,generation,10,gpt-4o,natural,explicit
"Jonathan opened up his car's trunk, but the ice scraper wasn't there. What can Jonathan use to chisel an inch of ice off his windshield?",1,non-afforded_image,hamsandwich_natural.jpeg,generation,10,gpt-4o,natural,explicit
"Jonathan opened up his car's trunk, but the ice scraper wasn't there. What can Jonathan use to chisel an inch of ice off his windshield?",3,related_image,screwdriver_natural.jpeg,generation,10,gpt-4o,natural,explicit
"After taking a shower at the gym, Sarah discovered that her skirt needed to be pressed free of wrinkles before she returned to work. What can Sarah use to smooth her skirt?",1,afforded_image,warmthermos_natural.jpeg,generation,11,gpt-4o,natural,explicit
"After taking a shower at the gym, Sarah discovered that her skirt needed to be pressed free of wrinkles before she returned to work. What can Sarah use to smooth her skirt?",1,non-afforded_image,hairpin_natural.jpeg,generation,11,gpt-4o,natural,explicit
"After taking a shower at the gym, Sarah discovered that her skirt needed to be pressed free of wrinkles before she returned to work. What can Sarah use to smooth her skirt?",5,related_image,hairdryer_natural.jpeg,generation,11,gpt-4o,natural,explicit
"At work, Aaron realized that he forgot his cap. The rule was that if your hair isn't covered, you cannot work. What can Aaron use to cover his hair?",1,afforded_image,sandwichwrapper_natural.jpeg,generation,12,gpt-4o,natural,explicit
"At work, Aaron realized that he forgot his cap. The rule was that if your hair isn't covered, you cannot work. What can Aaron use to cover his hair?",1,non-afforded_image,hamburgerbun_natural.png,generation,12,gpt-4o,natural,explicit
"At work, Aaron realized that he forgot his cap. The rule was that if your hair isn't covered, you cannot work. What can Aaron use to cover his hair?",7,related_image,showercap_natural.jpeg,generation,12,gpt-4o,natural,explicit
Marissa forgot to bring her pillow on her camping trip. What can Marissa use as a pillow?,4,afforded_image,leaves_natural.jpeg,generation,13,gpt-4o,natural,explicit
Marissa forgot to bring her pillow on her camping trip. What can Marissa use as a pillow?,1,non-afforded_image,water_natural.jpeg,generation,13,gpt-4o,natural,explicit
Marissa forgot to bring her pillow on her camping trip. What can Marissa use as a pillow?,4,related_image,clothes_natural.jpeg,generation,13,gpt-4o,natural,explicit
"After wading barefoot in the lake, Erik needed something to get dry. What can Erik use to dry his feet?",4,afforded_image,shirt_natural.jpeg,generation,14,gpt-4o,natural,explicit
"After wading barefoot in the lake, Erik needed something to get dry. What can Erik use to dry his feet?",1,non-afforded_image,glasses_natural.jpeg,generation,14,gpt-4o,natural,explicit
"After wading barefoot in the lake, Erik needed something to get dry. What can Erik use to dry his feet?",7,related_image,towel_natural.jpeg,generation,14,gpt-4o,natural,explicit
"While taking a walk, Colleen ran into an old friend. They exchanged phone numbers, but Colleen couldn't find anything to write on. What can Colleen write down the number on?",4,afforded_image,popsiclestick_natural.jpeg,generation,15,gpt-4o,natural,explicit
"While taking a walk, Colleen ran into an old friend. They exchanged phone numbers, but Colleen couldn't find anything to write on. What can Colleen write down the number on?",1,non-afforded_image,bentearring_natural.jpeg,generation,15,gpt-4o,natural,explicit
"While taking a walk, Colleen ran into an old friend. They exchanged phone numbers, but Colleen couldn't find anything to write on. What can Colleen write down the number on?",7,related_image,notepad_natural.jpeg,generation,15,gpt-4o,natural,explicit
Harry accidentally dropped his book behind his bed. He couldn't reach it with his hand. What can Harry use to push it out?,1,afforded_image,rolledpaper_natural.jpeg,generation,16,gpt-4o,natural,explicit
Harry accidentally dropped his book behind his bed. He couldn't reach it with his hand. What can Harry use to push it out?,1,non-afforded_image,smellysock_natural.jpeg,generation,16,gpt-4o,natural,explicit
Harry accidentally dropped his book behind his bed. He couldn't reach it with his hand. What can Harry use to push it out?,7,related_image,mophandle_natural.jpeg,generation,16,gpt-4o,natural,explicit
"Janet was teaching and needed to draw on the blackboard, but there were no fresh supplies in the classroom. What can Janet use to draw on the blackboard?",1,afforded_image,rice_natural.jpeg,generation,17,gpt-4o,natural,explicit
"Janet was teaching and needed to draw on the blackboard, but there were no fresh supplies in the classroom. What can Janet use to draw on the blackboard?",1,non-afforded_image,water_natural.jpeg,generation,17,gpt-4o,natural,explicit
"Janet was teaching and needed to draw on the blackboard, but there were no fresh supplies in the classroom. What can Janet use to draw on the blackboard?",7,related_image,chalk_natural.jpeg,generation,17,gpt-4o,natural,explicit
"Judy was using the Xerox machine in the hallway, but people kept cutting in to make a few copies. Where can Judy move the Xerox machine to for more privacy?",1,afforded_image,thelavatory_natural.jpeg,generation,18,gpt-4o,natural,explicit
"Judy was using the Xerox machine in the hallway, but people kept cutting in to make a few copies. Where can Judy move the Xerox machine to for more privacy?",1,non-afforded_image,hermailbox_natural.jpeg,generation,18,gpt-4o,natural,explicit
