text,condition,img_name,group_id,prompt_type,response_type,response,model_name,version,num_params
Brad was sitting in his office when an intruder threatened him with a knife. What can Brad use to protect himself?,afforded_image,laptopcomputer_synthetic.png,1,explicit,logits,-7.410154342651367,vilt-coco,synthetic,111595777
Brad was sitting in his office when an intruder threatened him with a knife. What can Brad use to protect himself?,non-afforded_image,papernapkin_synthetic.png,1,explicit,logits,-11.161951065063477,vilt-coco,synthetic,111595777
Brad was sitting in his office when an intruder threatened him with a knife. What can Brad use to protect himself?,related_image,huntingrifle_synthetic.png,1,explicit,logits,-6.361672878265381,vilt-coco,synthetic,111595777
Jenny was hiking in the woods. She left her friend Adam a note explaining that she would mark her choice of direction at each intersection. What can Jenny use to point her path?,afforded_image,pen_synthetic.png,2,explicit,logits,-11.148943901062012,vilt-coco,synthetic,111595777
Jenny was hiking in the woods. She left her friend Adam a note explaining that she would mark her choice of direction at each intersection. What can Jenny use to point her path?,non-afforded_image,nickel_synthetic.png,2,explicit,logits,-11.108114242553711,vilt-coco,synthetic,111595777
Jenny was hiking in the woods. She left her friend Adam a note explaining that she would mark her choice of direction at each intersection. What can Jenny use to point her path?,related_image,string_synthetic.png,2,explicit,logits,-11.192252159118652,vilt-coco,synthetic,111595777
Art was having a party. He realized he didn't have enough coasters to protect the tables from condensation dripping off the glasses. What can Art use to protect his table?,afforded_image,floppydisks_synthetic.png,3,explicit,logits,-6.061947822570801,vilt-coco,synthetic,111595777
Art was having a party. He realized he didn't have enough coasters to protect the tables from condensation dripping off the glasses. What can Art use to protect his table?,non-afforded_image,pencils_synthetic.png,3,explicit,logits,-4.0739922523498535,vilt-coco,synthetic,111595777
Art was having a party. He realized he didn't have enough coasters to protect the tables from condensation dripping off the glasses. What can Art use to protect his table?,related_image,oldmagazines_synthetic.png,3,explicit,logits,-7.704238414764404,vilt-coco,synthetic,111595777
"Mike was freezing in the wind. He needed something to cover his face, but he didn't have enough money to buy a scarf. What can Mike use to cover his face?",afforded_image,newspaper_synthetic.png,4,explicit,logits,-7.57026481628418,vilt-coco,synthetic,111595777
"Mike was freezing in the wind. He needed something to cover his face, but he didn't have enough money to buy a scarf. What can Mike use to cover his face?",non-afforded_image,matchbook_synthetic.png,4,explicit,logits,-10.80009651184082,vilt-coco,synthetic,111595777
"Mike was freezing in the wind. He needed something to cover his face, but he didn't have enough money to buy a scarf. What can Mike use to cover his face?",related_image,skimask_synthetic.png,4,explicit,logits,-7.925365447998047,vilt-coco,synthetic,111595777
"David was playing hide and seek with his son, Duncan. Where can Duncan hide?",afforded_image,clothesdryer_synthetic.png,5,explicit,logits,-4.195640563964844,vilt-coco,synthetic,111595777
"David was playing hide and seek with his son, Duncan. Where can Duncan hide?",non-afforded_image,cookiejar_synthetic.png,5,explicit,logits,-10.049545288085938,vilt-coco,synthetic,111595777
"David was playing hide and seek with his son, Duncan. Where can Duncan hide?",related_image,broomcloset_synthetic.png,5,explicit,logits,-7.208688259124756,vilt-coco,synthetic,111595777
"Bill was painting his barn. Part of the wall was too high to reach without a ladder, but he'd lent his ladder to a neighbor. What can Bill stand on instead?",afforded_image,tractor_synthetic.png,6,explicit,logits,-2.7867889404296875,vilt-coco,synthetic,111595777
"Bill was painting his barn. Part of the wall was too high to reach without a ladder, but he'd lent his ladder to a neighbor. What can Bill stand on instead?",non-afforded_image,hammer_synthetic.png,6,explicit,logits,-8.419059753417969,vilt-coco,synthetic,111595777
"Bill was painting his barn. Part of the wall was too high to reach without a ladder, but he'd lent his ladder to a neighbor. What can Bill stand on instead?",related_image,chair_synthetic.png,6,explicit,logits,-11.023139953613281,vilt-coco,synthetic,111595777
