text,condition,img_name,group_id,prompt_type,response_type,response,model_name,version,num_params
Brad was sitting in his office when an intruder threatened him with a knife. What can Brad use to protect himself?,afforded_image,laptopcomputer_synthetic.png,1,explicit,logits,-0.8136204481124878,bridgetower,synthetic,864518146
Brad was sitting in his office when an intruder threatened him with a knife. What can Brad use to protect himself?,non-afforded_image,papernapkin_synthetic.png,1,explicit,logits,-0.4853510856628418,bridgetower,synthetic,864518146
Brad was sitting in his office when an intruder threatened him with a knife. What can Brad use to protect himself?,related_image,huntingrifle_synthetic.png,1,explicit,logits,1.764622449874878,bridgetower,synthetic,864518146
Jenny was hiking in the woods. She left her friend Adam a note explaining that she would mark her choice of direction at each intersection. What can Jenny use to point her path?,afforded_image,pen_synthetic.png,2,explicit,logits,-1.6137378215789795,bridgetower,synthetic,864518146
Jenny was hiking in the woods. She left her friend Adam a note explaining that she would mark her choice of direction at each intersection. What can Jenny use to point her path?,non-afforded_image,nickel_synthetic.png,2,explicit,logits,-1.1272295713424683,bridgetower,synthetic,864518146
Jenny was hiking in the woods. She left her friend Adam a note explaining that she would mark her choice of direction at each intersection. What can Jenny use to point her path?,related_image,string_synthetic.png,2,explicit,logits,-0.5129802227020264,bridgetower,synthetic,864518146
Art was having a party. He realized he didn't have enough coasters to protect the tables from condensation dripping off the glasses. What can Art use to protect his table?,afforded_image,floppydisks_synthetic.png,3,explicit,logits,-1.0804088115692139,bridgetower,synthetic,864518146
Art was having a party. He realized he didn't have enough coasters to protect the tables from condensation dripping off the glasses. What can Art use to protect his table?,non-afforded_image,pencils_synthetic.png,3,explicit,logits,-3.246250629425049,bridgetower,synthetic,864518146
Art was having a party. He realized he didn't have enough coasters to protect the tables from condensation dripping off the glasses. What can Art use to protect his table?,related_image,oldmagazines_synthetic.png,3,explicit,logits,-0.9964057207107544,bridgetower,synthetic,864518146
"Mike was freezing in the wind. He needed something to cover his face, but he didn't have enough money to buy a scarf. What can Mike use to cover his face?",afforded_image,newspaper_synthetic.png,4,explicit,logits,0.8244670033454895,bridgetower,synthetic,864518146
"Mike was freezing in the wind. He needed something to cover his face, but he didn't have enough money to buy a scarf. What can Mike use to cover his face?",non-afforded_image,matchbook_synthetic.png,4,explicit,logits,-1.59905207157135,bridgetower,synthetic,864518146
"Mike was freezing in the wind. He needed something to cover his face, but he didn't have enough money to buy a scarf. What can Mike use to cover his face?",related_image,skimask_synthetic.png,4,explicit,logits,-2.639589309692383,bridgetower,synthetic,864518146
"David was playing hide and seek with his son, Duncan. Where can Duncan hide?",afforded_image,clothesdryer_synthetic.png,5,explicit,logits,-2.8653812408447266,bridgetower,synthetic,864518146
"David was playing hide and seek with his son, Duncan. Where can Duncan hide?",non-afforded_image,cookiejar_synthetic.png,5,explicit,logits,-2.885875940322876,bridgetower,synthetic,864518146
"David was playing hide and seek with his son, Duncan. Where can Duncan hide?",related_image,broomcloset_synthetic.png,5,explicit,logits,-2.771634578704834,bridgetower,synthetic,864518146
