list_id	scenario	condition	group_id	image_path
1	Brad was sitting in his office when an intruder threatened him with a knife. Brad used this to protect himself.	Afforded	1	images/laptopcomputer_natural.jpeg
2	Brad was sitting in his office when an intruder threatened him with a knife. Brad used this to protect himself.	Non-Afforded	1	images/huntingrifle_natural.jpeg
3	Brad was sitting in his office when an intruder threatened him with a knife. Brad used this to protect himself.	Related	1	images/huntingrifle_natural.jpeg
1	Jenny was hiking in the woods. She left her friend Adam a note explaining that she would mark her choice of direction at each intersection. Jenny pointed out her path using this.	Non-Afforded	2	images/string_natural.jpeg
2	Jenny was hiking in the woods. She left her friend Adam a note explaining that she would mark her choice of direction at each intersection. Jenny pointed out her path using this.	Related	2	images/string_natural.jpeg
3	Jenny was hiking in the woods. She left her friend Adam a note explaining that she would mark her choice of direction at each intersection. Jenny pointed out her path using this.	Afforded	2	images/pen_natural.jpeg
1	Art was having a party. He realized he didn't have enough coasters to protect the tables from condensation dripping off the glasses. Art used this to protect his table.	Related	3	images/oldmagazines_natural.jpeg
2	Art was having a party. He realized he didn't have enough coasters to protect the tables from condensation dripping off the glasses. Art used this to protect his table.	Afforded	3	images/floppydisks_natural.jpeg
3	Art was having a party. He realized he didn't have enough coasters to protect the tables from condensation dripping off the glasses. Art used this to protect his table.	Non-Afforded	3	images/oldmagazines_natural.jpeg
1	Mike was freezing in the wind. He needed something to cover his face, but he didn't have enough money to buy a scarf. Mike used this to cover his face.	Afforded	4	images/newspaper_natural.jpeg
2	Mike was freezing in the wind. He needed something to cover his face, but he didn't have enough money to buy a scarf. Mike used this to cover his face.	Non-Afforded	4	images/skimask_natural.jpeg
3	Mike was freezing in the wind. He needed something to cover his face, but he didn't have enough money to buy a scarf. Mike used this to cover his face.	Related	4	images/skimask_natural.jpeg
1	David was playing hide and seek with his son, Duncan. Duncan hid in here.	Non-Afforded	5	images/broomcloset_natural.jpeg
2	David was playing hide and seek with his son, Duncan. Duncan hid in here.	Related	5	images/broomcloset_natural.jpeg
3	David was playing hide and seek with his son, Duncan. Duncan hid in here.	Afforded	5	images/clothesdryer_natural.jpeg
1	Bill was painting his barn. Part of the wall was too high to reach without a ladder, but he'd lent his ladder to a neighbor. Bill stood on this to finish painting.	Related	6	images/chair_natural.jpeg
2	Bill was painting his barn. Part of the wall was too high to reach without a ladder, but he'd lent his ladder to a neighbor. Bill stood on this to finish painting.	Afforded	6	images/tractor_natural.jpeg
3	Bill was painting his barn. Part of the wall was too high to reach without a ladder, but he'd lent his ladder to a neighbor. Bill stood on this to finish painting.	Non-Afforded	6	images/chair_natural.jpeg
